,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,200.0
8,0.0
9,200.0
10,400.0
11,200.0
12,0.0
13,200.0
14,400.0
15,200.0
16,0.0
17,600.0
18,0.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,200.0
11,200.0
12,200.0
13,200.0
14,0.0
15,200.0
16,0.0
17,400.0
18,400.0
19,0.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,400.0
10,400.0
11,400.0
12,200.0
13,0.0
14,0.0
15,400.0
16,600.0
17,0.0
18,200.0
19,400.0
20,200.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,200.0
16,600.0
17,200.0
18,200.0
19,200.0
20,0.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,0.0
11,0.0
12,200.0
13,0.0
14,200.0
15,200.0
16,200.0
17,0.0
18,200.0
19,0.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,200.0
11,0.0
12,200.0
13,0.0
14,0.0
15,400.0
16,0.0
17,0.0
18,400.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,400.0
10,200.0
11,0.0
12,0.0
13,200.0
14,0.0
15,200.0
16,400.0
17,0.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,200.0
10,400.0
11,400.0
12,0.0
13,200.0
14,200.0
15,200.0
16,200.0
17,400.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,400.0
11,0.0
12,0.0
13,200.0
14,200.0
15,200.0
16,200.0
17,0.0
18,0.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,200.0
6,0.0
7,0.0
8,200.0
9,400.0
10,200.0
11,200.0
12,200.0
13,0.0
14,200.0
15,200.0
16,200.0
17,200.0
18,200.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,200.0
11,200.0
12,0.0
13,200.0
14,200.0
15,200.0
16,200.0
17,400.0
18,400.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,200.0
11,200.0
12,0.0
13,200.0
14,200.0
15,600.0
16,200.0
17,200.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,200.0
11,0.0
12,200.0
13,0.0
14,0.0
15,200.0
16,0.0
17,600.0
18,0.0
19,400.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,200.0
10,200.0
11,0.0
12,200.0
13,200.0
14,400.0
15,400.0
16,200.0
17,200.0
18,200.0
19,200.0
20,0.0
21,200.0
22,400.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,400.0
12,0.0
13,0.0
14,200.0
15,200.0
16,200.0
17,200.0
18,400.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,200.0
10,400.0
11,200.0
12,0.0
13,0.0
14,200.0
15,0.0
16,0.0
17,600.0
18,600.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,0.0
11,200.0
12,200.0
13,200.0
14,200.0
15,400.0
16,0.0
17,400.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,200.0
6,0.0
7,0.0
8,200.0
9,0.0
10,600.0
11,200.0
12,400.0
13,0.0
14,200.0
15,400.0
16,600.0
17,200.0
18,0.0
19,400.0
20,0.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,600.0
10,0.0
11,0.0
12,200.0
13,0.0
14,0.0
15,0.0
16,0.0
17,200.0
18,0.0
19,0.0
20,400.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,200.0
4,0.0
5,0.0
6,0.0
7,0.0
8,400.0
9,200.0
10,200.0
11,0.0
12,200.0
13,0.0
14,200.0
15,400.0
16,400.0
17,200.0
18,400.0
19,0.0
20,0.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,200.0
12,0.0
13,0.0
14,200.0
15,0.0
16,0.0
17,400.0
18,0.0
19,400.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,200.0
10,200.0
11,200.0
12,0.0
13,0.0
14,200.0
15,200.0
16,200.0
17,200.0
18,200.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,0.0
11,0.0
12,400.0
13,200.0
14,200.0
15,400.0
16,200.0
17,200.0
18,0.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,200.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,200.0
12,200.0
13,200.0
14,0.0
15,200.0
16,400.0
17,0.0
18,200.0
19,400.0
20,200.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,400.0
10,0.0
11,200.0
12,200.0
13,0.0
14,0.0
15,0.0
16,400.0
17,200.0
18,200.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,400.0
9,0.0
10,400.0
11,0.0
12,0.0
13,200.0
14,200.0
15,0.0
16,400.0
17,0.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,400.0
10,200.0
11,600.0
12,200.0
13,200.0
14,200.0
15,0.0
16,0.0
17,400.0
18,200.0
19,400.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,400.0
10,0.0
11,200.0
12,200.0
13,0.0
14,200.0
15,0.0
16,400.0
17,200.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,200.0
11,400.0
12,200.0
13,200.0
14,400.0
15,200.0
16,400.0
17,0.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,400.0
10,200.0
11,400.0
12,0.0
13,0.0
14,0.0
15,400.0
16,200.0
17,400.0
18,0.0
19,0.0
20,0.0
21,400.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,600.0
10,0.0
11,0.0
12,0.0
13,0.0
14,200.0
15,400.0
16,400.0
17,0.0
18,0.0
19,200.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,200.0
11,0.0
12,0.0
13,0.0
14,200.0
15,0.0
16,0.0
17,200.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,200.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,200.0
12,0.0
13,200.0
14,200.0
15,200.0
16,200.0
17,200.0
18,200.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,200.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,200.0
11,200.0
12,0.0
13,400.0
14,0.0
15,200.0
16,0.0
17,400.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,200.0
8,400.0
9,400.0
10,200.0
11,0.0
12,0.0
13,400.0
14,400.0
15,400.0
16,400.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,200.0
11,0.0
12,0.0
13,0.0
14,200.0
15,200.0
16,200.0
17,0.0
18,600.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,200.0
8,0.0
9,200.0
10,200.0
11,0.0
12,0.0
13,200.0
14,0.0
15,200.0
16,0.0
17,0.0
18,200.0
19,400.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,400.0
10,400.0
11,200.0
12,0.0
13,0.0
14,400.0
15,400.0
16,400.0
17,200.0
18,0.0
19,400.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,400.0
10,400.0
11,0.0
12,0.0
13,0.0
14,200.0
15,400.0
16,400.0
17,0.0
18,400.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,200.0
10,0.0
11,400.0
12,200.0
13,0.0
14,200.0
15,200.0
16,200.0
17,0.0
18,200.0
19,600.0
20,200.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,200.0
10,400.0
11,200.0
12,0.0
13,0.0
14,200.0
15,200.0
16,400.0
17,0.0
18,200.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,200.0
11,0.0
12,200.0
13,200.0
14,0.0
15,0.0
16,200.0
17,0.0
18,200.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,0.0
11,200.0
12,0.0
13,200.0
14,400.0
15,200.0
16,0.0
17,0.0
18,200.0
19,200.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,400.0
10,0.0
11,0.0
12,200.0
13,0.0
14,200.0
15,0.0
16,0.0
17,0.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,400.0
9,200.0
10,200.0
11,200.0
12,0.0
13,200.0
14,400.0
15,400.0
16,0.0
17,0.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,200.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,200.0
14,0.0
15,0.0
16,200.0
17,400.0
18,200.0
19,0.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,200.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,400.0
10,200.0
11,400.0
12,200.0
13,400.0
14,0.0
15,200.0
16,400.0
17,0.0
18,0.0
19,0.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,400.0
10,0.0
11,200.0
12,200.0
13,200.0
14,200.0
15,200.0
16,200.0
17,200.0
18,200.0
19,400.0
20,400.0
21,0.0
22,200.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,400.0
11,0.0
12,200.0
13,0.0
14,0.0
15,200.0
16,200.0
17,200.0
18,0.0
19,200.0
20,200.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,0.0
11,200.0
12,0.0
13,200.0
14,0.0
15,200.0
16,0.0
17,0.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,400.0
10,0.0
11,0.0
12,200.0
13,0.0
14,400.0
15,200.0
16,200.0
17,0.0
18,200.0
19,200.0
20,400.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,400.0
11,200.0
12,0.0
13,0.0
14,200.0
15,0.0
16,0.0
17,200.0
18,200.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,200.0
11,600.0
12,200.0
13,0.0
14,200.0
15,0.0
16,600.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,200.0
8,200.0
9,200.0
10,200.0
11,200.0
12,0.0
13,0.0
14,0.0
15,200.0
16,200.0
17,200.0
18,0.0
19,400.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,200.0
8,0.0
9,0.0
10,200.0
11,400.0
12,0.0
13,200.0
14,400.0
15,0.0
16,400.0
17,400.0
18,0.0
19,400.0
20,0.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,200.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,0.0
11,600.0
12,0.0
13,200.0
14,400.0
15,400.0
16,400.0
17,200.0
18,200.0
19,200.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,400.0
9,0.0
10,200.0
11,400.0
12,200.0
13,0.0
14,200.0
15,400.0
16,200.0
17,0.0
18,200.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,200.0
11,200.0
12,200.0
13,200.0
14,200.0
15,200.0
16,0.0
17,200.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,200.0
12,0.0
13,200.0
14,0.0
15,0.0
16,200.0
17,0.0
18,200.0
19,0.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,0.0
11,400.0
12,0.0
13,0.0
14,0.0
15,0.0
16,200.0
17,200.0
18,0.0
19,200.0
20,0.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,400.0
9,200.0
10,0.0
11,0.0
12,0.0
13,0.0
14,200.0
15,600.0
16,200.0
17,0.0
18,0.0
19,0.0
20,0.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,200.0
11,200.0
12,200.0
13,0.0
14,200.0
15,400.0
16,0.0
17,200.0
18,0.0
19,400.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,400.0
11,200.0
12,200.0
13,0.0
14,400.0
15,200.0
16,200.0
17,0.0
18,0.0
19,0.0
20,200.0
21,200.0
22,0.0
23,0.0
0,200.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,200.0
14,400.0
15,0.0
16,0.0
17,0.0
18,600.0
19,0.0
20,0.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,400.0
10,200.0
11,0.0
12,0.0
13,0.0
14,200.0
15,0.0
16,0.0
17,0.0
18,0.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,0.0
11,0.0
12,200.0
13,0.0
14,200.0
15,200.0
16,0.0
17,200.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,400.0
9,0.0
10,0.0
11,400.0
12,0.0
13,0.0
14,0.0
15,400.0
16,200.0
17,200.0
18,0.0
19,200.0
20,0.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,200.0
11,200.0
12,400.0
13,0.0
14,0.0
15,0.0
16,200.0
17,400.0
18,200.0
19,400.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,400.0
9,600.0
10,200.0
11,200.0
12,0.0
13,200.0
14,600.0
15,0.0
16,200.0
17,0.0
18,200.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,200.0
8,200.0
9,200.0
10,200.0
11,200.0
12,0.0
13,200.0
14,0.0
15,200.0
16,400.0
17,400.0
18,400.0
19,200.0
20,0.0
21,0.0
22,200.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,200.0
14,200.0
15,200.0
16,200.0
17,0.0
18,200.0
19,200.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,0.0
11,0.0
12,200.0
13,200.0
14,200.0
15,200.0
16,200.0
17,200.0
18,0.0
19,200.0
20,0.0
21,0.0
22,200.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,200.0
10,200.0
11,0.0
12,0.0
13,200.0
14,0.0
15,0.0
16,0.0
17,200.0
18,400.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,200.0
10,200.0
11,200.0
12,0.0
13,200.0
14,200.0
15,0.0
16,0.0
17,400.0
18,0.0
19,200.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,200.0
8,0.0
9,200.0
10,400.0
11,400.0
12,200.0
13,200.0
14,0.0
15,200.0
16,0.0
17,200.0
18,200.0
19,400.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,200.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,200.0
14,0.0
15,200.0
16,400.0
17,0.0
18,200.0
19,600.0
20,0.0
21,0.0
22,200.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,0.0
11,200.0
12,0.0
13,400.0
14,0.0
15,600.0
16,200.0
17,200.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,200.0
11,0.0
12,0.0
13,200.0
14,200.0
15,0.0
16,0.0
17,200.0
18,0.0
19,400.0
20,0.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,200.0
10,0.0
11,0.0
12,200.0
13,0.0
14,400.0
15,200.0
16,0.0
17,400.0
18,200.0
19,200.0
20,200.0
21,0.0
22,200.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,200.0
10,400.0
11,0.0
12,0.0
13,0.0
14,400.0
15,0.0
16,200.0
17,200.0
18,200.0
19,200.0
20,0.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,200.0
12,200.0
13,200.0
14,200.0
15,0.0
16,400.0
17,200.0
18,200.0
19,600.0
20,0.0
21,0.0
22,200.0
23,200.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,200.0
11,200.0
12,0.0
13,0.0
14,200.0
15,400.0
16,200.0
17,400.0
18,200.0
19,0.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,200.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,400.0
17,200.0
18,0.0
19,200.0
20,0.0
21,0.0
22,200.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,400.0
10,200.0
11,0.0
12,200.0
13,0.0
14,0.0
15,0.0
16,0.0
17,200.0
18,200.0
19,200.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,200.0
10,200.0
11,200.0
12,200.0
13,0.0
14,400.0
15,200.0
16,200.0
17,0.0
18,200.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,200.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,400.0
11,400.0
12,0.0
13,400.0
14,200.0
15,400.0
16,200.0
17,200.0
18,200.0
19,0.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,200.0
11,200.0
12,200.0
13,0.0
14,0.0
15,400.0
16,200.0
17,200.0
18,0.0
19,0.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,400.0
10,200.0
11,0.0
12,200.0
13,200.0
14,200.0
15,200.0
16,200.0
17,400.0
18,0.0
19,400.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,200.0
10,200.0
11,0.0
12,0.0
13,600.0
14,0.0
15,200.0
16,0.0
17,200.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,200.0
11,200.0
12,200.0
13,0.0
14,0.0
15,0.0
16,200.0
17,200.0
18,200.0
19,200.0
20,200.0
21,200.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,400.0
11,200.0
12,200.0
13,0.0
14,200.0
15,200.0
16,200.0
17,0.0
18,0.0
19,200.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,200.0
12,200.0
13,0.0
14,200.0
15,200.0
16,200.0
17,200.0
18,400.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,200.0
10,200.0
11,400.0
12,200.0
13,200.0
14,0.0
15,200.0
16,0.0
17,0.0
18,200.0
19,400.0
20,200.0
21,0.0
22,200.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,200.0
11,200.0
12,200.0
13,0.0
14,0.0
15,0.0
16,200.0
17,200.0
18,0.0
19,400.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,200.0
9,0.0
10,200.0
11,200.0
12,0.0
13,0.0
14,200.0
15,200.0
16,200.0
17,200.0
18,200.0
19,0.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,400.0
9,0.0
10,0.0
11,600.0
12,0.0
13,0.0
14,0.0
15,200.0
16,0.0
17,400.0
18,200.0
19,600.0
20,200.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,200.0
11,0.0
12,0.0
13,200.0
14,400.0
15,400.0
16,400.0
17,0.0
18,0.0
19,200.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
